副詞,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009
ケッシテ,1.0,0.8767123287671232,0.8813559322033898,0.8872727272727273,0.916751269035533,0.9083790133124511,0.9188405797101449,0.8862275449101796
マッタク,0.5,0.5517241379310345,0.5710059171597633,0.5137470542026709,0.5350839431769264,0.5475243946512468,0.5576053320637944,0.6516837899543378
ゼンゼン,1.0,0.8804347826086957,0.7641509433962265,0.7348484848484849,0.7863013698630137,0.7322175732217573,0.7343541944074568,0.6702557200538358
オソラク,0.5,0.3333333333333333,0.4294478527607362,0.488,0.46329723225030084,0.4818007662835249,0.49094939046915403,0.3833425261996691
キット,,0.2692307692307692,0.22058823529411764,0.2781065088757396,0.2928,0.31614349775784756,0.27323052589956504,0.2629324546952224
タブン,,0.40625,0.35,0.42628205128205127,0.3713355048859935,0.39896373056994816,0.34329845540607873,0.21788482834994463
ナゼ,0.38461538461538464,0.5714285714285714,0.5863192182410424,0.4727272727272727,0.47071946458449526,0.5141267123287672,0.4920431940892299,0.4427994616419919
モシ,0.2,0.4588235294117647,0.3870967741935484,0.3866525423728814,0.33448275862068966,0.32193732193732194,0.3424657534246575,0.20940788116360634
タトエ,,0.03225806451612903,0.05714285714285714,0.024489795918367346,0.05405405405405406,0.05055292259083728,0.03756124115405553,0.03803680981595092
ゼヒ,1.0,0.6060606060606061,0.6596858638743456,0.583941605839416,0.5409356725146199,0.565677966101695,0.3652173913043478,0.14726291441788744
マサカ,0.5,0.47368421052631576,0.53125,0.45977011494252873,0.3977272727272727,0.43005181347150256,0.3876843018213356,0.3104238258877434
