副詞,ケッシテ,ケッシテ,マッタク,マッタク,ゼンゼン,ゼンゼン,オソラク,オソラク,キット,キット,タブン,タブン,ナゼ,ナゼ,モシ,モシ,タトエ,タトエ,ドウゾ,ドウゾ,ゼヒ,ゼヒ,マルデ,マルデ,マサカ,マサカ
対応有無,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,1,0
1972,6,0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,0,0,0,0,0,0,0,2,0,1
1973,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,4,0,7,6,0,1,3,2,0,1,2,0,4,2,7,5,0,3,0,0,0,1,0,2,1,1
1976,29,1,44,46,26,3,13,28,4,6,4,2,34,33,35,32,1,18,0,0,33,15,0,18,3,4
1977,28,9,63,37,34,4,17,23,4,16,3,9,58,23,44,42,1,8,0,0,29,14,0,22,8,5
1978,43,5,53,42,14,3,7,26,3,14,1,5,24,26,20,40,0,19,0,0,16,19,0,20,5,8
1979,24,3,25,25,7,0,3,7,3,1,3,3,16,18,11,19,0,12,0,0,2,3,0,11,1,2
1980,30,2,28,20,3,1,17,14,1,2,3,2,30,20,19,20,1,6,0,0,6,5,0,16,1,3
1981,27,5,52,45,29,13,19,20,3,7,2,3,57,23,33,32,1,15,0,0,53,27,0,17,3,1
1982,38,8,35,24,9,3,9,18,4,9,5,6,16,30,10,29,0,15,0,0,11,4,0,25,1,5
1983,22,1,23,16,9,2,3,10,2,6,1,9,13,22,9,24,1,11,0,0,14,12,0,19,10,9
1984,39,5,55,40,31,6,22,31,5,29,3,6,64,32,25,47,1,19,0,0,42,17,0,24,19,12
1985,26,3,44,31,16,5,13,19,6,13,8,9,38,27,28,32,1,15,0,0,39,13,0,46,3,8
1986,108,15,128,122,39,19,58,79,20,39,29,30,98,112,72,132,2,50,0,0,55,36,0,105,12,10
1987,121,17,161,153,36,17,70,73,29,48,31,35,103,92,92,135,1,56,0,0,27,15,0,128,19,23
1988,131,13,160,167,65,14,87,80,17,67,33,56,112,147,89,147,2,60,0,0,31,25,0,126,26,23
1989,102,14,161,146,38,15,77,69,22,77,32,49,91,115,84,133,0,58,0,0,8,25,0,181,20,30
1990,149,12,241,181,54,14,67,94,32,82,49,67,118,159,75,181,6,76,0,0,21,27,0,171,30,46
1991,181,25,243,215,61,17,76,81,36,95,39,65,181,175,105,216,3,83,0,0,44,30,0,212,28,51
1992,144,17,224,240,45,16,74,77,36,80,51,87,139,155,82,155,1,69,0,0,22,22,0,185,26,38
1993,207,14,241,214,65,18,94,102,37,73,43,78,208,216,128,175,4,93,0,0,56,45,0,217,26,30
1994,222,14,294,230,62,13,74,92,42,112,46,89,198,244,95,238,10,99,0,0,42,33,0,219,30,47
1995,240,26,261,259,73,28,99,95,55,126,61,73,207,197,105,233,7,109,0,0,27,28,0,214,34,40
1996,225,19,271,223,79,30,89,87,55,114,58,97,210,240,114,240,9,105,0,0,42,35,0,225,24,34
1997,241,26,301,243,55,23,106,97,53,127,52,110,219,210,132,264,5,126,0,0,66,42,0,238,36,51
1998,222,27,345,255,78,29,105,157,52,118,59,82,319,270,122,233,5,131,0,0,87,51,0,254,33,46
1999,232,19,337,272,65,18,104,105,67,125,78,102,246,218,92,220,6,130,0,0,45,49,0,233,39,49
2000,208,14,310,224,67,24,93,106,40,120,62,90,263,232,121,187,4,96,0,0,65,91,0,231,33,58
2001,696,72,1072,867,244,91,331,323,139,377,167,315,778,859,476,740,8,430,0,0,179,245,0,840,93,146
2002,756,72,1130,863,276,96,322,306,173,465,166,290,796,864,391,876,20,418,0,0,114,207,0,936,124,175
2003,786,56,1075,905,263,94,283,331,171,440,138,287,817,791,371,819,25,433,0,0,90,201,0,845,94,153
2004,724,66,1098,858,253,94,300,312,168,436,156,336,809,829,391,738,12,391,0,0,98,205,0,861,103,174
2005,976,111,3047,1651,1198,577,494,811,418,1221,513,1685,2642,2790,852,3086,22,617,0,0,243,873,0,934,158,263
2006,15,1,20,14,1,5,4,4,4,6,2,0,52,39,5,14,1,9,0,0,1,3,0,24,0,1
2007,4,1,5,6,2,0,5,0,2,0,2,1,5,8,1,2,0,6,0,0,0,1,0,3,2,0
2008,485,77,1495,770,791,398,192,303,374,1010,270,1139,591,1303,157,730,8,152,0,0,138,1335,0,581,111,338
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
